coleta,colonia,ambiente,cidade,emergencia,tratamento,id_vespa,teste,invisibility time,Explored areas,exploration_rate,total_distance,total time frozen,n_braco,atividade_t,
coleta_2,rur.pent.06,rural,pentecoste,antes_manejo,pobre,rur.pent.06.rosa-branco,1,00:00:21,88,0.22,3820.90,00:00:51,5,0:04:09,
coleta_2,rur.pent.06,rural,pentecoste,antes_manejo,pobre,rur.pent.06.rosa-branco,2,00:00:06,32,0.08,1281.15,00:03:52,2,0:01:08,
coleta_2,rur.pent.06,rural,pentecoste,antes_manejo,rico,rur.pent.06.rosa-branco,3,00:00:00,2,0.00,0,00:04:59,0,0:00:01,
coleta_2,rur.pent.06,rural,pentecoste,antes_manejo,rico,rur.pent.06.rosa-branco,4,00:00:08,39,0.10,2012.14,00:02:13,2,0:02:47,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,rico,rur.pent.07.azul-verde,2,00:00:07,86,0.22,8558.23,00:01:03,6,0:03:57,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,pobre,rur.pent.07.azul-verde,3,00:00:03,35,0.09,1346.77,00:02:04,3,0:02:56,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,rico,rur.pent.07.branco-rosa,1,00:00:06,42,0.11,3061.8,00:01:24,2,0:03:36,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,rico,rur.pent.07.branco-rosa,2,00:00:07,42,0.10,2508.22,00:01:55,2,0:03:05,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,pobre,rur.pent.07.branco-rosa,3,00:00:00,43,0.11,2071.79,00:02:21,4,0:02:39,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,pobre,rur.pent.07.branco-rosa,4,00:00:00,5,0.01,238.76,00:04:18,1,0:00:42,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,pobre,rur.pent.07.roxo-sm-sm,3,00:00:18,130,0.28,6878.57,00:00:13,6,0:04:47,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,pobre,rur.pent.07.roxo-sm-sm,4,00:00:03,23,0.06,517.71,00:03:47,2,0:01:13,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,rico,rur.pent.07.verde-sm,1,00:00:35,138,0.33,5751.89,00:00:09,8,0:04:51,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,rico,rur.pent.07.verde-sm,2,00:00:11,67,0.17,3027.49,00:01:37,5,0:03:23,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,pobre,rur.pent.07.verde-sm,3,00:00:16,116,0.29,6966.48,00:00:14,6,0:04:46,
coleta_2,rur.pent.07,rural,pentecoste,antes_manejo,pobre,rur.pent.07.verde-sm,4,00:00:01,102,0.24,4965.88,00:01:38,6,0:03:22,
coleta_2,urb.pici.04,urbano,fortaleza,depois_manejo,pobre,urb.pici.04.amarelo-azul,3,00:00:02,47,0.12,1942.17,00:02:25,3,0:02:35,
coleta_2,urb.pici.04,urbano,fortaleza,depois_manejo,pobre,urb.pici.04.amarelo-azul,4,00:00:16,104,0.26,5019.09,00:00:54,6,0:04:06,
coleta_2,urb.pici.04,urbano,fortaleza,depois_manejo,rico,urb.pici.04.amarelo-azul,2,00:00:17,67,0.17,3074.80,00:01:36,4,0:03:24,
coleta_2,urb.pici.04,urbano,fortaleza,depois_manejo,pobre,urb.pici.04.azul-azul,3,00:00:00,42,0.10,1818.31,00:02:03,2,0:02:57,
coleta_2,urb.pici.04,urbano,fortaleza,depois_manejo,pobre,urb.pici.04.azul-azul,4,00:00:15,104,0.26,7154.80,00:00:05,7,0:04:55,
coleta_2,"urb.pici.04,",urbano,fortaleza,depois_manejo,rico,urb.pici.04.azul-verde,1,00:00:00,73,0.17,2986.99,00:02:29,6,0:02:31,
coleta_2,"urb.pici.04,",urbano,fortaleza,depois_manejo,rico,urb.pici.04.azul-verde,2,00:00:33,133,0.32,7537.31,00:00:24,8,0:04:36,
coleta_2,urb.pici.04,urbano,fortaleza,depois_manejo,pobre,urb.pici.04.azul-verde,3,00:00:11,49,0.12,2642.10,00:02:52,3,0:02:08,
coleta_2,urb.pici.04,urbano,fortaleza,antes_manejo,rico,urb.pici.04.rosa-branco,1,00:00:10,63,0.15,3400.98,00:01:31,3,0:03:29,
coleta_2,urb.pici.04,urbano,fortaleza,antes_manejo,rico,urb.pici.04.rosa-branco,2,00:00:23,103,0.26,5736.77,00:00:13,6,0:04:47,vespa saiu do alcance da camera por tempo consideravel
coleta_2,urb.pici.04,urbano,fortaleza,antes_manejo,pobre,urb.pici.04.rosa-branco,3,00:00:09,100,0.24,4029.48,00:01:47,7,0:03:13,
coleta_2,urb.pici.05,urbano,fortaleza,depois_manejo,pobre,urb.pici.05.amarelo-azul,2,00:00:04,61,0.15,1685.61,00:03:18,4,0:01:42,
coleta_2,urb.pici.05,urbano,fortaleza,depois_manejo,rico,urb.pici.05.amarelo-azul,3,00:00:06,69,0.17,2380.84,00:03:15,4,0:01:45,
coleta_2,urb.pici.05,urbano,fortaleza,depois_manejo,pobre,urb.pici.05.amarelo-azul,1,00:00:09,59,0.14,1671.89,00:02:42,4,0:02:18,
coleta_2,urb.pici.05,urbano,fortaleza,depois_manejo,rico,urb.pici.05.amarelo-azul,4,00:00:07,112,0.25,4667.99,00:01:22,6,0:03:38,
coleta_2,urb.pici.05,urbano,fortaleza,depois_manejo,rico,urb.pici.05.azul-azul,3,00:00:00,85,0.21,3265.17,00:02:02,5,0:02:58,
coleta_2,urb.pici.05,urbano,fortaleza,depois_manejo,rico,urb.pici.05.azul-azul,4,00:00:16,119,0.30,5643.51,00:00:26,7,0:04:34,
coleta_2,urb.pici.05,urbano,fortaleza,depois_manejo,pobre,urb.pici.05.azul-verde,1,00:00:25,73,0.18,3599.26,00:00:19,3,0:04:41,
coleta_2,urb.pici.05,urbano,fortaleza,depois_manejo,pobre,urb.pici.05.azul-verde,2,00:00:02,66,0.16,2093.45,00:02:30,5,0:02:30,
coleta_2,urb.pici.05,urbano,fortaleza,antes_manejo,pobre,urb.pici.05.branco-rosa,1,00:00:14,46,0.11,2341.26,00:02:18,2,0:02:42,
coleta_2,urb.pici.05,urbano,fortaleza,antes_manejo,pobre,urb.pici.05.branco-rosa,2,00:00:10,67,0.16,2462.21,00:02:54,5,0:02:06,
coleta_2,urb.pici.05,urbano,fortaleza,antes_manejo,rico,urb.pici.05.branco-rosa,3,00:00:21,124,0.31,7636.34,00:00:40,7,0:04:20,
coleta_2,urb.pici.05,urbano,fortaleza,antes_manejo,rico,urb.pici.05.branco-rosa,4,00:00:12,129,0.32,5986.36,00:00:23,8,0:04:37,
coleta_2,rur.pent.06,rural,pentecoste,antes_manejo,rico,rur.pent.06.azul-verde,3,00:00:06,31,0.07,1047.17,00:03:51,4,0:01:09,
coleta_2,urb.pici.05,urbano,fortaleza,NA,rico,urb.pici.05.rosa-branco,3,00:00:09,103,0.23,4068.75,00:01:47,7,0:03:13,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,pobre,rur.pent.08.rosa-branco,1,00:00:01,18,0.05,340.53,00:04:33,1,0:00:27,
